Table 1: Number of visits abroad ,,,,,,,,,,
"Data for 2019 to 2023 are for visits by UK residents, data for 2024 onwards are for visits by Great Britain residents [definitions 1, 2]",,,,,,,,,,
This worksheet contains one table. ,,,,,,,,,,
Shorthand is used in this table:,,,,,,,,,,
"Q1 = Quarter 1 (Jan to Mar), Q2 = Quarter 2 (Apr to June), Q3 = Quarter 3 (July to Sept), Q4 = Quarter 4 (Oct to Dec). ",,,,,,,,,,
"P = provisional estimates, B = break in time series where estimates change from UK to Great Britain.",,,,,,,,,,
"[c] = estimates based on a small number of respondents (less than 3), [x] = estimates are not available, [low] = estimates that would appear as zero in these rounded tables, [z] = estimates are not applicable.",,,,,,,,,,
"Notes and definitions are referred to, the text for these can be found on the corresponding worksheets. ",,,,,,,,,,
Period,"North America
[definition 3]","Europe
[definition 4]","EU
[definition 5]","EU15
[definition 6]","Other EU
[definition 7]","Other
countries [definition 8]",World total,"Percentage
change
[note 1]",,
2019,"5,562,000","72,471,000","66,957,000","56,236,000","10,720,000","15,053,000","93,086,000",2.8%,,
2020,"1,056,000","18,692,000",[x],[x],[x],"4,079,000","23,827,000",-74.4%,,
2021,"623,000","15,813,000","14,643,000","11,554,000","3,089,000","2,706,000","19,142,000",-19.7%,,
2022,"3,951,000","56,096,000","51,304,000","43,631,000","7,673,000","10,903,000","70,950,000",270.6%,,
2023,"4,537,000","66,716,000","60,770,000","51,760,000","9,010,000","14,952,000","86,205,000",21.5%,,
2024,"4,712,000","70,602,000","63,444,000","53,018,000","10,427,000","16,120,000","91,435,000",[z],,
2019 Q1,"870,000","13,514,000","12,366,000","10,248,000","2,118,000","3,776,000","18,159,000",9.4%,,
2019 Q2,"1,615,000","20,298,000","18,915,000","15,998,000","2,917,000","3,847,000","25,760,000",4.5%,,
2019 Q3,"1,825,000","24,092,000","22,313,000","18,801,000","3,511,000","4,082,000","30,000,000",0.3%,,
2019 Q4,"1,252,000","14,567,000","13,363,000","11,189,000","2,174,000","3,348,000","19,167,000",-1.2%,,
2020 Q1,"843,000","9,966,000","9,120,000","7,462,000","1,658,000","3,082,000","13,891,000",-23.5%,,
2020 Q2,"43,000","745,000",[x],[x],[x],"152,000","939,000",-96.4%,,
2020 Q3,"82,000","5,789,000",[x],[x],[x],"319,000","6,191,000",-79.4%,,
2020 Q4,"88,000","2,192,000",[x],[x],[x],"526,000","2,806,000",-85.4%,,
2021 Q1,"22,000","513,000","434,000","276,000","158,000","384,000","918,000",-93.4%,,
2021 Q2,"42,000","860,000","773,000","526,000","246,000","250,000","1,152,000",22.7%,,
2021 Q3,"151,000","7,257,000","6,835,000","5,227,000","1,608,000","700,000","8,108,000",31.0%,,
2021 Q4,"407,000","7,183,000","6,601,000","5,525,000","1,076,000","1,373,000","8,963,000",219.4%,,
2022 Q1,"460,000","7,089,000","6,330,000","5,293,000","1,037,000","2,029,000","9,578,000",942.9%,,
2022 Q2,"995,000","16,464,000","15,175,000","13,053,000","2,122,000","2,964,000","20,423,000",1672.4%,,
2022 Q3,"1,425,000","20,422,000","18,633,000","15,828,000","2,805,000","3,104,000","24,952,000",207.7%,,
2022 Q4,"1,070,000","12,121,000","11,166,000","9,457,000","1,709,000","2,806,000","15,998,000",78.5%,,
2023 Q1,"742,000","10,935,000","9,972,000","8,322,000","1,650,000","3,605,000","15,281,000",59.5%,,
2023 Q2,"1,158,000","18,411,000","16,881,000","14,425,000","2,456,000","3,831,000","23,400,000",14.6%,,
2023 Q3,"1,416,000","23,033,000","20,845,000","17,913,000","2,932,000","3,871,000","28,320,000",13.5%,,
2023 Q4,"1,221,000","14,338,000","13,071,000","11,099,000","1,972,000","3,644,000","19,203,000",20.0%,,
2024 Q1 B,"870,000","11,840,000","10,608,000","8,731,000","1,877,000","4,132,000","16,843,000",[z],,
2024 Q2,"1,432,000","19,354,000","17,584,000","14,851,000","2,734,000","4,634,000","25,420,000",[z],,
2024 Q3,"1,430,000","24,063,000","21,383,000","17,997,000","3,386,000","3,438,000","28,931,000",[z],,
2024 Q4,"980,000","15,344,000","13,870,000","11,439,000","2,430,000","3,916,000","20,240,000",[z],,
2025 Q1 P,"950,000","13,451,000","12,184,000","9,797,000","2,386,000","4,306,000","18,707,000",[z],,
2025 Q2 P,"797,000","21,200,000","19,139,000","16,219,000","2,920,000","3,954,000","25,951,000",[z],,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
