Table 1,,,,,,,,,,,
Visits abroad by UK residents,,,,,,,,,,,thousands
,,,,,,,,,,,
,,,,,,,,,,,
,,,North,,of which,of which,of which,Other,Total,Percent,Seasonally
,,,America,Europe,EU,EU15,Other EU,Countries,World,change,adjusted
Annual,,,,,,,,,,,
2009,,,"4,055","49,432","45,571","41,013","4,558","10,026","63,513",-8.0,-
2010,,,"4,419","49,031","44,833","40,126","4,707","11,197","64,647",1.8,-
2011,,,"4,612","51,686","47,424","42,352","5,072","11,196","67,493",4.4,-
2012,,,"4,215","51,703","47,603","42,443","5,160","10,940","66,858",-0.9,-
2013,,,"4,294","53,423","49,346","43,840","5,506","11,242","68,959",3.1,-
2014,,,"4,749","55,745","51,840","45,910","5,930","11,710","72,204",4.7,-
2015,,,"4,926","60,271","55,917","49,128","6,789","12,421","77,619",7.5,-
2016,,,"5,040","64,173","60,240","51,735","8,505","12,544","81,757",5.3,-
2017,,,"5,123","68,329","64,082","54,559","9,523","13,790","87,242",6.7,-
2018,,,"5,722","70,512","65,810","56,248","9,562","14,336","90,571",3.8,-
2019,,,"5,562","72,471","66,957","56,236","10,720","15,053","93,086",2.8,-
2020,,,"1,056","18,692",-,-,-,"4,079","23,827",-74.4,-
,,,,,,,,,,,
Quarterly,,,,,,,,,,,
2009,q1,"20,091",761,"8,480","7,867","7,023",844,"2,425","11,666",-18.8,"15,828"
,q2,20092,"1,064","13,647","12,628","11,410","1,217","2,495","17,207",-7.2,"16,083"
,q3,20093,"1,282","17,434","15,901","14,353","1,547","2,634","21,350",-5.0,"15,806"
,q4,20094,947,"9,870","9,176","8,227",949,"2,471","13,289",-2.5,"15,900"
2010,q1,20101,744,"8,372","7,686","6,863",824,"2,720","11,836",1.5,"16,097"
,q2,20102,"1,147","13,154","12,089","10,829","1,260","2,714","17,014",-1.1,"15,863"
,q3,20103,"1,367","17,812","16,058","14,398","1,660","3,088","22,267",4.3,"16,578"
,q4,20104,"1,161","9,694","9,000","8,036",964,"2,675","13,530",1.8,"16,068"
2011,q1,20111,771,"8,549","7,868","7,009",859,"2,628","11,948",0.9,"16,447"
,q2,20112,"1,278","14,415","13,280","11,888","1,392","2,838","18,530",8.9,"17,329"
,q3,20113,"1,461","18,280","16,568","14,803","1,766","3,018","22,759",2.2,"16,896"
,q4,20114,"1,102","10,443","9,708","8,653","1,055","2,713","14,257",5.4,"16,849"
2012,q1,20121,770,"8,680","7,909","7,013",896,"2,837","12,287",2.8,"16,592"
,q2,20122,"1,147","14,129","13,067","11,755","1,312","2,737","18,012",-2.8,"16,772"
,q3,20123,"1,296","18,308","16,772","14,889","1,883","2,763","22,367",-1.7,"16,429"
,q4,20124,"1,002","10,587","9,856","8,787","1,070","2,603","14,193",-0.5,"16,880"
2013,q1,20131,680,"9,130","8,324","7,351",974,"2,727","12,536",2.0,"17,153"
,q2,20132,"1,148","14,462","13,388","12,077","1,311","2,865","18,476",2.6,"17,202"
,q3,20133,"1,426","18,961","17,565","15,544","2,021","3,069","23,455",4.9,"17,350"
,q4,20134,"1,040","10,870","10,069","8,869","1,200","2,581","14,491",2.1,"17,266"
2014,q1,20141,737,"9,102","8,336","7,372",964,"2,784","12,623",0.7,"17,428"
,q2,20142,"1,169","15,253","14,211","12,729","1,482","2,975","19,397",5.0,"18,083"
,q3,20143,"1,593","19,703","18,364","16,230","2,134","3,180","24,476",4.4,"18,095"
,q4,20144,"1,250","11,687","10,930","9,579","1,351","2,770","15,707",8.4,"18,618"
2015,q1,20151,744,"10,043","9,237","8,092","1,145","3,047","13,833",9.6,"18,756"
,q2,20152,"1,222","16,285","15,221","13,493","1,728","3,169","20,676",6.6,"19,296"
,q3,20153,"1,754","21,130","19,578","17,187","2,391","3,421","26,305",7.5,"19,770"
,q4,20154,"1,206","12,814","11,881","10,356","1,525","2,785","16,805",7.0,"19,911"
2016,q1,20161,856,"11,149","10,258","8,741","1,517","2,968","14,972",8.2,"19,877"
,q2,20162,"1,328","17,386","16,454","14,320","2,134","3,073","21,787",5.4,"20,244"
,q3,20163,"1,593","22,384","21,095","18,166","2,929","3,571","27,548",4.7,"20,767"
,q4,20164,"1,264","13,254","12,432","10,508","1,924","2,932","17,450",3.8,"20,569"
2017,q1,20171,810,"11,831","10,923","9,228","1,695","3,293","15,934",6.4,"21,334"
,q2,20172,"1,323","18,700","17,694","15,257","2,438","3,720","23,744",9.0,"22,100"
,q3,20173,"1,774","23,380","22,023","18,682","3,341","3,545","28,699",4.2,"21,823"
,q4,20174,"1,215","14,418","13,441","11,392","2,049","3,232","18,865",8.1,"21,983"
2018,q1,20181,923,"12,195","11,222","9,451","1,771","3,474","16,592",4.1,"22,296"
,q2,20182,"1,569","19,552","18,328","15,831","2,497","3,525","24,646",3.8,"22,860"
,q3,20183,"1,794","24,164","22,668","19,312","3,355","3,965","29,923",4.3,"22,892"
,q4,20184,"1,437","14,600","13,593","11,654","1,939","3,372","19,409",2.9,"22,588"
2019,q1,20191,870,"13,514","12,366","10,248","2,118","3,776","18,159",9.4,"23,809"
,q2,20192,"1,615","20,298","18,915","15,998","2,917","3,847","25,760",4.5,"23,888"
,q3,20193,"1,825","24,092","22,313","18,801","3,511","4,082","30,000",0.3,"23,087"
,q4,20194,"1,252","14,567","13,363","11,189","2,174","3,348","19,167",-1.2,"22,332"
2020,q1,20201,843,"9,966","9,120","7,462","1,658","3,082","13,891",-23.5,"19,381"
,q2,,43,745,-,-,-,152,939,-,-
,q3,,82,5789,-,-,-,319,6191,-,-
,q4,,88,2192,-,-,-,526,2806,-,-
2021p,q1,,20,396,319,168,151,357,774,-94.4,-
,,,,,,,,,,,
No data were collected for Q2 to Q4 2020 due to the coronavirus (COVID-19) pandemic. Estimates are based on models using passenger numbers and IPS trend data,,,,,,,,,,,
Data for 2021 are shown for UK residents who travelled abroad by air. Insufficient data were collected to provide robust estimates for sea and tunnel.,,,,,,,,,,,
Percentage differences between Q1 2020 and Q1 2021 are provided using air data only although figures shown in the table for 2020 include all modes,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
